iter	Passed	Remaining
403	9890	14590
404	9913	14563
405	9936	14537
406	9960	14512
407	9982	14484
408	10006	14459
409	10028	14431
410	10050	14403
411	10073	14377
412	10095	14349
413	10117	14320
414	10138	14291
415	10161	14265
416	10185	14240
417	10209	14214
418	10230	14185
419	10252	14157
420	10276	14133
421	10301	14109
422	10323	14082
423	10347	14057
424	10371	14032
425	10395	14006
426	10420	13983
427	10446	13960
428	10470	13936
429	10495	13912
430	10520	13889
431	10546	13866
432	10573	13845
433	10601	13825
434	10627	13802
435	10671	13805
436	10706	13794
437	10734	13773
438	10760	13750
439	10783	13724
440	10808	13700
441	10831	13674
442	10858	13653
443	10883	13629
444	10908	13604
445	10932	13579
446	10957	13555
447	10981	13530
448	11003	13502
449	11025	13475
450	11047	13447
451	11072	13424
452	11096	13399
453	11122	13376
454	11150	13356
455	11175	13331
456	11201	13309
457	11225	13283
458	11246	13255
459	11268	13227
460	11290	13200
461	11313	13175
462	11337	13149
463	11361	13124
464	11385	13099
465	11409	13074
466	11432	13048
467	11458	13025
468	11480	12998
469	11503	12971
470	11525	12944
471	11548	12918
472	11574	12895
473	11600	12873
474	11629	12853
475	11658	12834
476	11687	12814
477	11716	12794
478	11749	12779
479	11778	12760
480	11808	12741
481	11836	12720
482	11861	12696
483	11889	12675
484	11919	12656
485	11946	12634
486	11974	12613
487	11999	12590
488	12025	12566
489	12054	12546
490	12081	12524
491	12106	12500
492	12131	12476
493	12157	12452
494	12180	12426
495	12203	12400
496	12227	12375
497	12251	12350
498	12278	12328
499	12304	12304
500	12333	12284
501	12360	12261
502	12385	12237
503	12414	12217
504	12445	12199
505	12470	12175
506	12496	12151
507	12522	12128
508	12552	12108
509	12576	12083
510	12601	12059
511	12629	12037
512	12653	12011
513	12677	11986
514	12709	11969
515	12734	11945
516	12760	11921
517	12788	11899
518	12812	11874
519	12838	11850
520	12863	11826
521	12886	11800
522	12910	11775
523	12933	11749
524	12957	11723
525	12983	11699
526	13011	11677
527	13036	11653
528	13063	11630
529	13089	11607
530	13116	11585
531	13141	11560
532	13168	11538
533	13195	11515
534	13223	11493
535	13270	11487
536	13298	11465
537	13326	11444
538	13351	11419
539	13381	11399
540	13407	11375
541	13432	11350
542	13458	11326
543	13483	11302
544	13512	11281
545	13544	11261
546	13569	11237
547	13594	11213
548	13621	11189
549	13647	11165
550	13673	11142
551	13698	11117
552	13724	11093
553	13748	11068
554	13773	11043
555	13798	11018
556	13824	10994
557	13852	10972
558	13876	10947
559	13906	10926
560	13932	10902
561	13958	10878
562	13985	10855
563	14013	10833
564	14037	10807
565	14066	10785
566	14094	10763
567	14124	10742
568	14150	10718
569	14170	10690
570	14193	10663
571	14217	10638
572	14242	10613
573	14267	10589
574	14292	10564
575	14319	10540
576	14344	10515
577	14368	10490
578	14393	10465
579	14422	10443
580	14446	10418
581	14470	10392
582	14493	10366
583	14515	10339
584	14538	10313
585	14562	10288
586	14586	10262
587	14612	10238
588	14636	10213
589	14664	10190
590	14687	10164
591	14713	10140
592	14736	10114
593	14758	10087
594	14784	10063
595	14809	10038
596	14836	10015
597	14862	9991
598	14886	9965
599	14911	9941
600	14934	9915
601	14955	9887
602	14976	9859
603	14999	9833
604	15021	9807
605	15044	9781
606	15069	9756
607	15093	9731
608	15117	9705
609	15143	9682
610	15168	9656
611	15192	9631
612	15215	9605
613	15236	9578
614	15258	9551
615	15279	9524
616	15301	9498
617	15323	9471
618	15345	9445
619	15366	9418
620	15388	9391
621	15410	9365
622	15432	9338
623	15456	9313
624	15478	9286
625	15501	9261
626	15522	9234
627	15545	9208
628	15568	9182
629	15592	9157
630	15613	9130
631	15634	9103
632	15655	9076
633	15676	9049
634	15698	9023
635	15719	8996
636	15741	8970
637	15762	8943
638	15784	8917
639	15806	8891
640	15827	8864
641	15850	8838
642	15872	8812
643	15893	8786
644	15916	8759
645	15937	8733
646	15958	8706
647	15980	8680
648	16000	8653
649	16022	8627
650	16043	8600
651	16065	8574
652	16086	8548
653	16108	8522
654	16129	8495
655	16149	8468
656	16172	8442
657	16193	8416
658	16214	8390
659	16235	8363
660	16256	8337
661	16278	8311
662	16301	8286
663	16324	8260
664	16345	8234
665	16368	8208
666	16389	8182
667	16411	8156
668	16435	8131
669	16459	8107
670	16483	8081
671	16507	8057
672	16533	8033
673	16559	8009
674	16584	7985
675	16611	7961
676	16638	7938
677	16664	7914
678	16688	7889
679	16714	7865
680	16738	7840
681	16762	7816
682	16790	7792
683	16814	7767
684	16838	7743
685	16862	7718
686	16885	7693
687	16908	7667
688	16930	7642
689	16953	7616
