iter	Logloss
390	0.5056170871
391	0.5055916625
392	0.5055241986
393	0.5054518065
394	0.5054507698
395	0.5053828516
396	0.5053309999
397	0.5052897213
398	0.5052305688
399	0.5051331222
400	0.5050592013
401	0.5049983039
402	0.5049698728
403	0.504967418
404	0.5049125746
405	0.5048420963
406	0.5047835128
407	0.5047097275
408	0.5046480787
409	0.5045971714
410	0.5045496057
411	0.5044737215
412	0.504422756
413	0.5043571751
414	0.5042921573
415	0.5042459547
416	0.5042126659
417	0.5041477747
418	0.5040900054
419	0.5040583513
420	0.5040437473
421	0.5039881938
422	0.5039855804
423	0.503922611
424	0.5038395771
425	0.5038089932
426	0.5037550796
427	0.5037161737
428	0.5037036238
429	0.5036097433
430	0.5035433645
431	0.5034653632
432	0.5034317815
433	0.5033294978
434	0.5032808854
435	0.5032798222
436	0.5032198062
437	0.5031746327
438	0.503123045
439	0.5030643796
440	0.5030025045
441	0.5029492636
442	0.5028834979
443	0.5028139889
444	0.5027603295
445	0.5027096054
446	0.5026481191
447	0.5026203829
448	0.5026194173
449	0.5025706678
450	0.5025392424
451	0.5024635284
452	0.5024244374
453	0.5023605834
454	0.5022882517
455	0.5022558271
456	0.5022121568
457	0.5022106893
458	0.5021669508
459	0.5021076895
460	0.5020828603
461	0.5020391861
462	0.5019969925
463	0.5019110225
464	0.501879211
465	0.5018337082
466	0.5017931017
467	0.5017613575
468	0.5016863353
469	0.5016418252
470	0.5015765631
471	0.5015291561
472	0.5014706807
473	0.5013925376
474	0.5013062003
475	0.5012873223
476	0.5012861746
477	0.5012198641
478	0.501185307
479	0.5011548991
480	0.5011018888
481	0.5010314234
482	0.500964749
483	0.5009147863
484	0.5008705105
485	0.5008216492
486	0.5007725291
487	0.5007117477
488	0.5006569214
489	0.500625176
490	0.5005294502
491	0.5004331498
492	0.5004088757
493	0.5003459747
494	0.5002834189
495	0.5002373994
496	0.5001555782
497	0.5001279853
498	0.5000606609
499	0.5000202903
500	0.4999508546
501	0.4999005232
502	0.4998625036
503	0.4998354194
504	0.4998040122
505	0.4997513195
506	0.499697756
507	0.4996516446
508	0.499561982
509	0.4994999857
510	0.4994556574
511	0.4994130656
512	0.4993543212
513	0.4993336373
514	0.4992776452
515	0.4991959312
516	0.4991310039
517	0.4990472947
518	0.4990054979
519	0.4989567524
520	0.4989158392
521	0.4988459838
522	0.4988281228
523	0.4987518477
524	0.4987501913
525	0.4987221347
526	0.4986381881
527	0.4986077725
528	0.4985691417
529	0.498491944
530	0.4984436384
531	0.4983872779
532	0.4983345885
533	0.4982952872
534	0.4982729396
535	0.4982340298
536	0.4981834422
537	0.4981386739
538	0.4981378864
539	0.4980575887
540	0.498026445
541	0.497970445
542	0.4978917568
543	0.4978445216
544	0.4977797421
545	0.4977354114
546	0.497705482
547	0.4976359659
548	0.497565566
549	0.4975332123
550	0.4975268783
551	0.4974746235
552	0.4974405456
553	0.497381825
554	0.4973428866
555	0.4973034794
556	0.4972616548
557	0.4972140778
558	0.4972111806
559	0.4971101148
560	0.4970710543
561	0.4970427465
562	0.4969858966
563	0.4969650595
564	0.4969643053
565	0.4969357324
566	0.4968890173
567	0.4968309255
568	0.4968049025
569	0.4968049111
570	0.4967681326
571	0.4967229593
572	0.496695738
573	0.4966374322
574	0.4966024627
575	0.4965710728
576	0.4965505993
577	0.4965204888
578	0.4964891731
579	0.4964598167
580	0.4964210781
581	0.4963777704
582	0.4962956735
583	0.4962687138
584	0.4962477612
585	0.4962133682
586	0.4961749865
587	0.4960874638
588	0.4960128588
589	0.4959780241
590	0.4959412607
591	0.4958835369
592	0.4958822261
593	0.495845396
594	0.4957999526
595	0.4957556939
596	0.4957249768
597	0.4956898476
598	0.4956451143
599	0.4956206592
600	0.4955757153
601	0.4955421346
602	0.4955414249
603	0.4954665538
604	0.4954356289
605	0.4954078191
606	0.4953369495
607	0.4952843075
608	0.495214845
609	0.4952015414
610	0.4951565034
611	0.4951138247
612	0.4950805697
613	0.4950329643
614	0.4949944166
615	0.4949610315
616	0.4949355716
617	0.4948849707
618	0.4948780603
619	0.4948358409
620	0.4948099301
621	0.4948088589
622	0.494771274
623	0.494753732
624	0.4946625533
625	0.4946414427
626	0.4945974342
627	0.4945468396
628	0.494514335
629	0.4944486924
630	0.494420212
631	0.4943695362
632	0.4943346842
633	0.4942971315
634	0.4942592182
635	0.494208283
636	0.4941556963
637	0.494122001
638	0.4940760799
639	0.4940530974
640	0.4940005557
641	0.4939780497
642	0.4939509567
643	0.4939092412
644	0.4938730526
645	0.4938357765
646	0.4937705231
647	0.4937251089
648	0.4936817823
649	0.493648989
650	0.4936214417
651	0.4935844548
652	0.4935741403
653	0.4935454267
654	0.493522268
655	0.4935212441
656	0.4934797285
657	0.4934552838
658	0.4934115145
659	0.4933715861
660	0.4933370499
661	0.4932835619
662	0.4932201217
663	0.4931843127
664	0.4931495761
665	0.4931351372
666	0.4931348323
667	0.4931190565
668	0.4930926422
669	0.4930557591
670	0.493008052
671	0.4929540487
672	0.4928801032
673	0.4928358365
674	0.4927895582
675	0.492722759
676	0.4926747763
677	0.492644589
678	0.4926004053
679	0.4924986633
680	0.492478726
681	0.4924455086
682	0.4923981757
683	0.4923753684
684	0.4923689462
685	0.4923424546
686	0.492321269
687	0.4923197228
688	0.4922863737
689	0.4922693749
690	0.4922409
691	0.4921947682
692	0.4921134345
693	0.4920765123
694	0.4920549824
695	0.4920234561
696	0.4919898988
697	0.4919891998
698	0.4919689459
699	0.4918619772
700	0.4918454942
701	0.4918116892
702	0.4918117418
703	0.4917820954
704	0.4917444037
705	0.4917086068
706	0.4916749562
707	0.4916422871
708	0.4915948766
709	0.4915789631
710	0.491556971
711	0.4915546886
712	0.4915182524
713	0.4915006076
714	0.4914567906
715	0.4914445331
716	0.4913961057
717	0.49135557
718	0.4912929515
719	0.4912800362
720	0.4912307542
721	0.4912030799
722	0.4911486755
723	0.4911181914
724	0.4911174042
725	0.491116492
726	0.4910982613
727	0.4910589406
728	0.4910242838
729	0.4909648257
730	0.4909334683
731	0.4909020157
732	0.4908748742
733	0.4908604834
734	0.4908598049
735	0.490798195
736	0.490763229
737	0.4907346753
738	0.4907043607
739	0.4906551298
740	0.4906113404
741	0.4905711845
742	0.49054116
743	0.4905365136
744	0.4905136631
745	0.490471848
746	0.4904222051
747	0.4903954763
748	0.4903800031
749	0.4903555183
750	0.4903242399
751	0.4902734216
752	0.4902420318
753	0.4902104695
754	0.4901868204
755	0.4901525708
756	0.4901258414
757	0.4901005897
758	0.4900999329
759	0.4900553515
760	0.4900262702
761	0.4899993229
762	0.4899318399
763	0.4898989468
764	0.4898619732
765	0.4898363452
766	0.4898042687
767	0.4897783445
768	0.4897774395
769	0.4897464158
770	0.4897191177
771	0.4896620881
772	0.4896214357
773	0.4895827149
774	0.4895456321
775	0.4895018149
776	0.4894771417
777	0.4894548559
778	0.4894396935
779	0.489386313
780	0.4893327166
781	0.4893156787
782	0.4892858808
783	0.4892497579
784	0.489225057
785	0.4891844153
786	0.4891765971
787	0.4891760875
788	0.4891419625
789	0.4891015664
790	0.4890734121
791	0.4890518392
792	0.4890313887
793	0.4890202165
794	0.4889848042
795	0.4889605433
796	0.4889393523
797	0.4889132611
798	0.4888635954
799	0.4888573862
800	0.4888386446
801	0.4888380085
802	0.4888373091
803	0.4888044894
804	0.4887934039
805	0.488762675
806	0.4887622071
807	0.4887403666
808	0.4887258735
809	0.4887049565
810	0.4886875088
811	0.488686681
812	0.4886863339
813	0.4886388741
814	0.4886014103
815	0.4885679548
816	0.488550403
817	0.4885237217
818	0.4884742181
819	0.4884739646
820	0.48843751
821	0.4884167849
822	0.4883660948
823	0.488329005
824	0.4883060404
825	0.4882673921
826	0.4882449526
827	0.4882017706
828	0.4881755195
829	0.488135736
830	0.4881156385
831	0.4880494546
832	0.4880300439
833	0.4880060568
834	0.4879800461
835	0.4879473951
836	0.4878871241
837	0.4878566212
838	0.4878293495
839	0.4878045752
840	0.4877854754
841	0.4877654597
842	0.4877173148
843	0.4876987647
844	0.4876443389
845	0.4876252516
846	0.487596219
847	0.4875511765
848	0.4875274599
849	0.4874994388
850	0.4874688392
851	0.4874504856
852	0.4874275549
853	0.4873887894
854	0.4873523233
855	0.4873027233
856	0.4872845948
857	0.4872448661
858	0.487211696
859	0.4871785581
860	0.4871405095
861	0.4871147538
862	0.4870926624
863	0.4870751942
864	0.4870368219
865	0.4870366187
866	0.4869867786
867	0.4869741228
868	0.4869581854
869	0.4869361703
870	0.4869248487
871	0.4869060156
872	0.4868806003
873	0.4868527089
874	0.4868286011
875	0.4867954502
876	0.486791337
877	0.4867589019
878	0.4867470981
879	0.4867127692
880	0.4866932892
881	0.4866652735
882	0.4866219861
883	0.4865840814
884	0.4865467461
885	0.4865170451
886	0.4864803567
887	0.4864452299
888	0.4864158789
889	0.4863985097
890	0.4863739161
891	0.4862979138
892	0.4862975376
893	0.4862773294
894	0.4862454129
895	0.4862208022
896	0.4862036578
897	0.4861850794
898	0.4861765785
899	0.4861478068
900	0.4861234478
901	0.4861115724
902	0.4860933738
903	0.4860801471
904	0.4860618073
905	0.4860287149
906	0.486014782
907	0.4859966758
908	0.4859760371
909	0.485932748
910	0.4858826918
911	0.4858584649
912	0.4858244125
913	0.4858029483
914	0.4857426469
915	0.4857218127
916	0.4857006546
917	0.4856820312
918	0.4856660611
919	0.4856661568
920	0.4856378365
921	0.4856221491
922	0.4855940636
923	0.4855676496
924	0.4855622726
925	0.4855620726
926	0.4855347961
927	0.4855344429
928	0.4854994517
929	0.4854796613
930	0.4854451693
931	0.4854190679
932	0.4853931628
933	0.4853393111
934	0.4853120927
935	0.4852826194
936	0.4852516533
937	0.4852461528
938	0.4852331903
939	0.4852172927
940	0.4851967928
941	0.485173271
942	0.4851468384
943	0.4851465563
944	0.4850969729
945	0.4850809067
946	0.4850721938
947	0.4850648546
948	0.485017711
949	0.4849782217
950	0.4849432643
951	0.4849177815
952	0.4848909667
953	0.4848841459
954	0.484882894
955	0.4848607515
956	0.4848486367
957	0.4848267771
958	0.484810199
959	0.4847780308
960	0.4847775865
961	0.4847562225
962	0.4847562856
963	0.4847386168
964	0.4846908875
965	0.4846627874
966	0.4846397033
967	0.4846168095
968	0.4846030518
969	0.4845139404
970	0.484494351
971	0.4844809336
972	0.4844676978
973	0.4844504137
974	0.4844268543
975	0.4844267294
976	0.4844102962
977	0.4843907541
978	0.4843408702
979	0.484319404
980	0.4842773306
981	0.484277053
982	0.4842483463
983	0.4842163799
984	0.4842085561
985	0.4841939262
986	0.4841732735
987	0.484149619
988	0.4841040236
989	0.4840711046
990	0.484004956
991	0.483963546
992	0.4839275598
993	0.4839094135
994	0.4838756351
995	0.4838523363
996	0.4838244273
997	0.4838147073
998	0.4838043893
999	0.4837740807
